Date,Temperatura,Humedad
14-09-2021 21:19:39,22.11,62
14-09-2021 22:19:35,22.01,64
14-09-2021 23:19:24,21.8,63
15-09-2021 00:20:20,21.94,63
15-09-2021 00:29:56,21.9,63
15-09-2021 00:41:00,21.9,63
15-09-2021 00:42:47,21.89,63
15-09-2021 00:43:34,21.9,63
18-10-2021 22:09:03,24.44,55
19-10-2021 18:52:57,24.96 ,55
06-11-2021 20:45:20,18.48,50
06-11-2021 20:47:34,18.48,50
06-11-2021 20:49:18,18.47,50
06-11-2021 20:50:18,18.49,50
06-11-2021 20:51:45,18.48,50
06-11-2021 20:52:31,18.5,50
06-11-2021 20:53:16,18.45,50
06-11-2021 20:54:24,18.49,50
06-11-2021 20:57:12,18.51,50
06-11-2021 20:59:16,18.49,50
06-11-2021 21:03:06,18.47,50
06-11-2021 21:06:55,18.48,50
06-11-2021 21:07:29,18.49,50
06-11-2021 21:11:13,18.47,50
06-11-2021 21:11:55,18.48,50
06-11-2021 21:14:24,18.49,50
06-11-2021 21:15:29,18.51 ,50
07-11-2021 12:24:46,17.5,62
07-11-2021 12:25:25,17.52,61
07-11-2021 12:25:58,17.52,61
07-11-2021 12:28:22,17.52,61
07-11-2021 12:28:42,17.55,61
07-11-2021 12:29:29,17.56,61
07-11-2021 12:30:35,17.59,61
07-11-2021 12:32:54,17.58,61
07-11-2021 12:33:21,17.59,61
07-11-2021 12:34:23,17.59,61
07-11-2021 12:36:37,17.6,61
07-11-2021 12:37:38,17.61,61
07-11-2021 12:38:39,17.66,61
07-11-2021 12:39:05,17.64,61
07-11-2021 12:40:59,17.66,61
07-11-2021 12:45:47,17.78,60
07-11-2021 12:46:20,17.73,61
07-11-2021 12:47:00,17.82,60
07-11-2021 12:48:21,17.79,60
07-11-2021 12:56:43,17.8,60
07-11-2021 13:01:00,17.8,59
07-11-2021 13:03:13,17.82,59
07-11-2021 13:04:10,17.85,60
07-11-2021 13:09:25,17.8,59
07-11-2021 13:10:39,17.82,59
07-11-2021 13:16:47,17.91,59
07-11-2021 18:06:57,18.24,53
07-11-2021 18:07:23,18.25,54
07-11-2021 18:08:20,18.23,53
07-11-2021 18:42:12,18.19,53
07-11-2021 18:45:56,18.2,53
07-11-2021 19:03:42,18.17,53
07-11-2021 19:04:36,18.19,53
07-11-2021 19:06:26,18.15,53
07-11-2021 19:08:46,18.18,53
09-11-2021 18:41:28,20.77,53
09-11-2021 19:15:09,20.87,53
09-11-2021 19:18:02,20.85,53
09-11-2021 19:18:45,20.88,53
09-11-2021 19:19:55,20.84,53
09-11-2021 19:22:20,20.88,53
09-11-2021 19:24:21,20.87,53
09-11-2021 19:25:30,20.87,53
09-11-2021 19:27:43,20.87,53
09-11-2021 19:28:16,20.88,53
09-11-2021 19:29:24,20.88,53
09-11-2021 19:30:54,20.91,53
09-11-2021 19:37:27,20.46,36
10-11-2021 22:08:01,20.15,50
10-11-2021 22:11:57,20.15,51
11-11-2021 00:31:44,20.43,54
11-11-2021 00:32:10,20.43,54
11-11-2021 00:36:49,20.42,54
11-11-2021 21:58:13,20.2,45
11-11-2021 22:50:09,20.28,46
11-11-2021 22:51:08,20.28,46
11-11-2021 22:51:50,20.28,46
11-11-2021 22:52:10,20.3,46
11-11-2021 22:52:37,20.3,46
11-11-2021 22:57:38,20.38,47
11-11-2021 22:59:38,20.31,46
11-11-2021 22:59:59,20.32,46
11-11-2021 23:00:39,20.29,46
11-11-2021 23:07:23,20.25,47
11-11-2021 23:51:11,20.14,48
11-11-2021 23:52:31,20.18,48
11-11-2021 23:52:50,20.18,48
12-11-2021 00:03:38,20.49,48
12-11-2021 00:03:53,20.53,48
12-11-2021 00:04:13,20.52,48
